time,code,algo,test_year,seed,ret,bh_ret,excess_bh,sortino,mdd,trades,hold_ratio,hold_bull,hold_bear,avg_hold_days,n_spells,capture_up,capture_dn,day_up,day_dn,entry_lag,bull_days
09-18 04:17,005930,rand_hold10,2020,20,0.3906,0.467,-0.0764,2.205,-0.2146,33,0.774,0.773,0.778,11.3,17,0.75,0.755,0.734,0.808,0.5,0.746
09-18 04:17,005930,rand_free,2018,1,-0.2516,-0.2403,-0.0113,-1.804,-0.2516,76,0.51,0.565,0.492,3.2,38,0.519,0.578,0.5,0.529,0.8,0.257
09-18 04:17,005930,rand_free,2018,2,-0.3514,-0.2403,-0.1111,-2.849,-0.3627,73,0.473,0.419,0.492,3.2,36,0.406,0.504,0.446,0.521,1.6,0.257
09-18 04:17,005930,rand_free,2018,3,-0.1653,-0.2403,0.075,-1.048,-0.2674,78,0.51,0.613,0.475,3.2,39,0.593,0.446,0.509,0.513,0.3,0.257
09-18 04:17,005930,rand_free,2018,4,0.0264,-0.2403,0.2667,0.287,-0.1561,71,0.473,0.452,0.48,3.2,36,0.447,0.432,0.473,0.454,1.2,0.257
09-18 04:17,005930,rand_free,2018,5,-0.1346,-0.2403,0.1057,-0.875,-0.273,73,0.556,0.548,0.559,3.6,37,0.638,0.526,0.607,0.521,0.6,0.257
09-18 04:17,005930,rand_free,2018,6,-0.4286,-0.2403,-0.1883,-3.683,-0.4475,83,0.531,0.468,0.553,3.0,42,0.534,0.566,0.58,0.487,1.2,0.257
09-18 04:17,005930,rand_free,2018,7,0.0324,-0.2403,0.2727,0.344,-0.1995,74,0.394,0.5,0.358,2.6,37,0.332,0.474,0.348,0.437,0.8,0.257
09-18 04:17,005930,rand_free,2018,8,-0.1761,-0.2403,0.0642,-1.122,-0.2144,79,0.498,0.435,0.52,3.0,40,0.496,0.464,0.455,0.521,1.5,0.257
09-18 04:17,005930,rand_free,2018,9,-0.1351,-0.2403,0.1052,-0.807,-0.2209,75,0.49,0.548,0.469,3.1,38,0.516,0.477,0.491,0.479,1.3,0.257
09-18 04:17,005930,rand_free,2018,10,-0.2891,-0.2403,-0.0488,-2.098,-0.3032,80,0.523,0.565,0.508,3.1,40,0.457,0.593,0.455,0.588,0.8,0.257
09-18 04:17,005930,rand_free,2018,11,-0.0383,-0.2403,0.202,-0.125,-0.199,79,0.481,0.387,0.514,2.9,40,0.465,0.432,0.509,0.454,1.8,0.257
09-18 04:17,005930,rand_free,2018,12,-0.2633,-0.2403,-0.023,-1.815,-0.2786,81,0.577,0.677,0.542,3.4,41,0.637,0.547,0.607,0.563,0.6,0.257
09-18 04:17,005930,rand_free,2018,13,-0.2435,-0.2403,-0.0032,-1.617,-0.2815,70,0.44,0.452,0.436,3.0,35,0.547,0.448,0.446,0.429,1.2,0.257
09-18 04:17,005930,rand_free,2018,14,-0.3833,-0.2403,-0.143,-2.993,-0.3974,86,0.564,0.613,0.547,3.2,43,0.545,0.523,0.58,0.555,0.5,0.257
09-18 04:17,005930,rand_free,2018,15,-0.1627,-0.2403,0.0776,-1.069,-0.1707,68,0.49,0.452,0.503,3.5,34,0.452,0.453,0.482,0.487,2.2,0.257
09-18 04:17,005930,rand_free,2018,16,-0.2763,-0.2403,-0.036,-1.899,-0.2783,75,0.552,0.613,0.531,3.6,37,0.622,0.558,0.562,0.521,1.3,0.257
09-18 04:17,005930,rand_free,2018,17,-0.1718,-0.2403,0.0685,-1.155,-0.2889,102,0.432,0.403,0.441,2.0,51,0.478,0.472,0.455,0.429,0.8,0.257
09-18 04:17,005930,rand_free,2018,18,-0.2381,-0.2403,0.0022,-1.714,-0.2618,63,0.448,0.613,0.391,3.4,32,0.425,0.471,0.446,0.445,0.8,0.257
09-18 04:17,005930,rand_free,2018,19,-0.2241,-0.2403,0.0162,-1.466,-0.2563,76,0.469,0.419,0.486,3.0,38,0.511,0.503,0.482,0.479,1.2,0.257
09-18 04:17,005930,rand_free,2018,20,-0.2667,-0.2403,-0.0264,-1.989,-0.2833,86,0.448,0.387,0.469,2.5,43,0.4,0.456,0.429,0.471,1.7,0.257
09-18 04:17,005930,rand_free,2019,1,0.1243,0.44,-0.3157,1.08,-0.137,78,0.504,0.511,0.495,3.2,39,0.52,0.442,0.546,0.457,0.1,0.565
09-18 04:17,005930,rand_free,2019,2,0.2731,0.44,-0.1669,2.263,-0.0876,73,0.48,0.46,0.505,3.2,37,0.553,0.452,0.492,0.467,1.2,0.565
09-18 04:17,005930,rand_free,2019,3,0.3531,0.44,-0.0869,2.692,-0.0943,79,0.52,0.525,0.514,3.2,40,0.594,0.398,0.569,0.438,0.2,0.565
09-18 04:17,005930,rand_free,2019,4,0.0943,0.44,-0.3457,0.788,-0.1015,72,0.467,0.453,0.486,3.2,36,0.473,0.528,0.485,0.457,1.1,0.565
09-18 04:17,005930,rand_free,2019,5,-0.0553,0.44,-0.4953,-0.318,-0.2183,77,0.553,0.568,0.533,3.5,39,0.565,0.496,0.562,0.524,0.6,0.565
09-18 04:17,005930,rand_free,2019,6,0.3367,0.44,-0.1033,2.929,-0.1091,84,0.52,0.525,0.514,3.0,42,0.53,0.492,0.5,0.524,1.0,0.565
09-18 04:17,005930,rand_free,2019,7,0.0496,0.44,-0.3904,0.493,-0.1635,76,0.394,0.446,0.327,2.6,38,0.449,0.405,0.423,0.371,1.1,0.565
09-18 04:17,005930,rand_free,2019,8,0.3211,0.44,-0.1189,2.803,-0.0664,81,0.496,0.504,0.486,3.0,41,0.515,0.524,0.515,0.467,0.8,0.565
09-18 04:17,005930,rand_free,2019,9,-0.0087,0.44,-0.4487,0.033,-0.102,77,0.488,0.468,0.514,3.1,39,0.479,0.492,0.5,0.486,2.6,0.565
09-18 04:17,005930,rand_free,2019,10,-0.0258,0.44,-0.4658,-0.087,-0.1964,83,0.516,0.504,0.533,3.1,41,0.435,0.544,0.492,0.552,1.4,0.565
09-18 04:17,005930,rand_free,2019,11,-0.085,0.44,-0.525,-0.7,-0.2015,82,0.488,0.504,0.467,2.9,41,0.428,0.554,0.446,0.552,0.2,0.565
09-18 04:17,005930,rand_free,2019,12,0.3254,0.44,-0.1146,2.859,-0.0982,82,0.581,0.626,0.523,3.5,41,0.656,0.561,0.6,0.59,0.4,0.565
09-18 04:17,005930,rand_free,2019,13,0.0972,0.44,-0.3428,0.832,-0.1774,71,0.439,0.381,0.514,3.0,36,0.447,0.38,0.477,0.39,0.4,0.565
09-18 04:17,005930,rand_free,2019,14,0.1121,0.44,-0.3279,1.053,-0.0905,86,0.561,0.561,0.561,3.2,43,0.526,0.525,0.554,0.581,1.1,0.565
09-18 04:17,005930,rand_free,2019,15,0.2753,0.44,-0.1647,2.383,-0.0998,71,0.488,0.511,0.458,3.3,36,0.477,0.421,0.515,0.448,1.0,0.565
09-18 04:17,005930,rand_free,2019,16,0.0277,0.44,-0.4123,0.36,-0.1698,75,0.561,0.583,0.533,3.6,38,0.574,0.589,0.523,0.61,2.1,0.565
09-18 04:17,005930,rand_free,2019,17,0.1501,0.44,-0.2899,1.435,-0.082,103,0.427,0.424,0.43,2.0,52,0.43,0.4,0.431,0.41,0.8,0.565
09-18 04:17,005930,rand_free,2019,18,0.2735,0.44,-0.1665,2.447,-0.1194,66,0.455,0.446,0.467,3.4,33,0.48,0.438,0.454,0.448,0.5,0.565
09-18 04:17,005930,rand_free,2019,19,-0.0709,0.44,-0.5109,-0.537,-0.1844,76,0.459,0.475,0.439,3.0,38,0.437,0.529,0.431,0.495,1.1,0.565
09-18 04:17,005930,rand_free,2019,20,-0.1123,0.44,-0.5523,-0.791,-0.241,88,0.447,0.482,0.402,2.5,44,0.479,0.44,0.462,0.438,0.6,0.565
09-18 04:17,005930,rand_free,2020,1,0.3009,0.467,-0.1661,1.714,-0.2356,78,0.5,0.503,0.492,3.2,39,0.499,0.516,0.523,0.5,1.0,0.746
09-18 04:17,005930,rand_free,2020,2,-0.0382,0.467,-0.5052,-0.098,-0.3521,75,0.48,0.524,0.349,3.1,38,0.47,0.423,0.477,0.5,0.5,0.746
09-18 04:17,005930,rand_free,2020,3,0.0484,0.467,-0.4186,0.398,-0.3338,79,0.524,0.541,0.476,3.2,40,0.56,0.545,0.5,0.577,1.5,0.746
09-18 04:17,005930,rand_free,2020,4,-0.0062,0.467,-0.4732,0.094,-0.1601,74,0.468,0.508,0.349,3.1,37,0.363,0.485,0.398,0.538,0.2,0.746
09-18 04:17,005930,rand_free,2020,5,0.085,0.467,-0.382,0.652,-0.2147,79,0.552,0.551,0.556,3.5,39,0.561,0.551,0.555,0.577,0.7,0.746
09-18 04:17,005930,rand_free,2020,6,0.2204,0.467,-0.2466,1.282,-0.2012,87,0.52,0.541,0.46,3.0,43,0.524,0.504,0.547,0.481,0.5,0.746
09-18 04:17,005930,rand_free,2020,7,0.02,0.467,-0.447,0.232,-0.1943,77,0.391,0.378,0.429,2.6,38,0.381,0.424,0.383,0.404,1.5,0.746
09-18 04:17,005930,rand_free,2020,8,0.0926,0.467,-0.3744,0.675,-0.2149,82,0.492,0.514,0.429,3.0,41,0.458,0.486,0.508,0.49,0.2,0.746
09-18 04:17,005930,rand_free,2020,9,-0.076,0.467,-0.543,-0.294,-0.2793,77,0.492,0.465,0.571,3.1,39,0.426,0.599,0.422,0.596,1.0,0.746
09-18 04:17,005930,rand_free,2020,10,0.2187,0.467,-0.2483,1.22,-0.1945,83,0.516,0.514,0.524,3.0,42,0.477,0.606,0.5,0.558,0.5,0.746
09-18 04:17,005930,rand_free,2020,11,0.1069,0.467,-0.3601,0.755,-0.1701,83,0.488,0.514,0.413,2.9,42,0.381,0.54,0.453,0.51,0.3,0.746
09-18 04:17,005930,rand_free,2020,12,0.3054,0.467,-0.1616,1.595,-0.2448,83,0.585,0.557,0.667,3.5,42,0.6,0.534,0.586,0.548,1.7,0.746
09-18 04:17,005930,rand_free,2020,13,0.351,0.467,-0.116,1.886,-0.1053,72,0.435,0.405,0.524,3.0,36,0.481,0.434,0.469,0.394,3.7,0.746
09-18 04:17,005930,rand_free,2020,14,-0.0317,0.467,-0.4987,0.015,-0.2962,87,0.565,0.557,0.587,3.2,44,0.56,0.562,0.562,0.538,0.7,0.746
09-18 04:17,005930,rand_free,2020,15,0.0302,0.467,-0.4368,0.337,-0.2124,71,0.492,0.454,0.603,3.4,36,0.46,0.451,0.477,0.529,2.0,0.746
09-18 04:17,005930,rand_free,2020,16,0.1032,0.467,-0.3638,0.66,-0.2154,77,0.556,0.546,0.587,3.6,38,0.6,0.548,0.578,0.538,0.7,0.746
09-18 04:17,005930,rand_free,2020,17,0.5089,0.467,0.0419,3.126,-0.1204,104,0.427,0.449,0.365,2.0,52,0.375,0.428,0.414,0.442,2.3,0.746
09-18 04:17,005930,rand_free,2020,18,0.1204,0.467,-0.3466,0.723,-0.2591,66,0.456,0.449,0.476,3.4,33,0.482,0.401,0.484,0.423,2.8,0.746
09-18 04:17,005930,rand_free,2020,19,0.5184,0.467,0.0514,2.396,-0.1315,76,0.456,0.449,0.476,3.0,38,0.483,0.378,0.477,0.404,0.2,0.746
09-18 04:17,005930,rand_free,2020,20,0.0652,0.467,-0.4018,0.587,-0.1378,90,0.448,0.422,0.524,2.5,45,0.436,0.451,0.406,0.481,0.8,0.746
