time,code,test_year,seed,episodes,window,features,hidden,lr,gamma,target_every,eps_decay,ret,excess_bh,sortino,mdd,trades,data_hash,train_len,churn,penalty
09-15 16:29,5930,2018,9,10,10,slim5,64,0.001,0.99,500,0.999,-0.2554,-0.0151,-1.639,-0.2789,37,,3.0,none,0.0
09-15 16:29,5930,2018,10,10,10,slim5,64,0.001,0.99,500,0.999,-0.4205,-0.1803,-3.169,-0.4272,45,,3.0,none,0.0
09-15 16:30,5930,2019,1,10,10,slim5,64,0.001,0.99,500,0.999,0.1181,-0.3218,0.99,-0.1973,77,,3.0,none,0.0
09-15 16:30,5930,2019,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.1254,-0.5654,-0.891,-0.2381,60,,3.0,none,0.0
09-15 16:30,5930,2019,3,10,10,slim5,64,0.001,0.99,500,0.999,0.1488,-0.2912,1.17,-0.2178,53,,3.0,none,0.0
09-15 16:31,5930,2019,4,10,10,slim5,64,0.001,0.99,500,0.999,0.0408,-0.3991,0.461,-0.1431,76,,3.0,none,0.0
09-15 16:31,5930,2019,5,10,10,slim5,64,0.001,0.99,500,0.999,0.3788,-0.0612,2.682,-0.1228,48,,3.0,none,0.0
09-15 16:31,5930,2019,6,10,10,slim5,64,0.001,0.99,500,0.999,0.1555,-0.2845,1.245,-0.1578,70,,3.0,none,0.0
09-15 16:32,5930,2019,7,10,10,slim5,64,0.001,0.99,500,0.999,0.1391,-0.3008,1.166,-0.1494,56,,3.0,none,0.0
09-15 16:32,5930,2019,8,10,10,slim5,64,0.001,0.99,500,0.999,0.0308,-0.4091,0.36,-0.1551,72,,3.0,none,0.0
09-15 16:32,5930,2019,9,10,10,slim5,64,0.001,0.99,500,0.999,0.0085,-0.4315,0.18,-0.1707,74,,3.0,none,0.0
09-15 16:33,5930,2019,10,10,10,slim5,64,0.001,0.99,500,0.999,0.051,-0.3889,0.535,-0.1763,61,,3.0,none,0.0
09-15 16:33,5930,2020,1,10,10,slim5,64,0.001,0.99,500,0.999,0.2115,-0.2555,1.257,-0.3231,55,,3.0,none,0.0
09-15 16:33,5930,2020,2,10,10,slim5,64,0.001,0.99,500,0.999,0.1224,-0.3446,0.797,-0.2975,72,,3.0,none,0.0
09-15 16:33,5930,2020,3,10,10,slim5,64,0.001,0.99,500,0.999,0.5599,0.0928,2.68,-0.2058,57,,3.0,none,0.0
09-15 16:34,5930,2020,4,10,10,slim5,64,0.001,0.99,500,0.999,0.0501,-0.417,0.41,-0.2226,70,,3.0,none,0.0
09-15 16:34,5930,2020,5,10,10,slim5,64,0.001,0.99,500,0.999,0.118,-0.3491,0.694,-0.2395,65,,3.0,none,0.0
09-15 16:35,5930,2020,6,10,10,slim5,64,0.001,0.99,500,0.999,0.4874,0.0204,3.123,-0.1326,69,,3.0,none,0.0
09-15 16:35,5930,2020,7,10,10,slim5,64,0.001,0.99,500,0.999,0.0849,-0.3822,0.642,-0.2777,82,,3.0,none,0.0
09-15 16:35,5930,2020,8,10,10,slim5,64,0.001,0.99,500,0.999,-0.049,-0.516,-0.064,-0.3054,60,,3.0,none,0.0
09-15 16:35,5930,2020,9,10,10,slim5,64,0.001,0.99,500,0.999,0.224,-0.2431,1.304,-0.238,34,,3.0,none,0.0
09-15 16:36,5930,2020,10,10,10,slim5,64,0.001,0.99,500,0.999,0.2132,-0.2539,1.277,-0.2442,72,,3.0,none,0.0
