date,frgn_net,inst_net,indiv_net
2014-03-24,-12764813000,853498000,11423789000
2014-03-25,-51041151000,-73926708000,122078736000
2014-03-26,-8221971000,113515202000,-106366944000
2014-03-27,212925817000,25536495000,-239068576000
2014-03-28,83989276000,5227165000,-86507272000
2014-03-31,87531508000,-23731054000,-62486585000
2014-04-01,78007822000,-55231694000,-22402844000
2014-04-02,197772804000,-90514317000,-106664327000
2014-04-03,157537924000,30084814000,-187891020000
2014-04-04,12744291000,3056653000,-16189099000
2014-04-07,111731126000,-53337679000,-56997271000
2014-04-08,93525509000,-35840260000,-51381197000
2014-04-09,-23513227000,5629000,24062364000
2014-04-10,53012896000,-31348641000,-22385407000
2014-04-11,47191642000,-54684168000,7337768000
2014-04-14,11567638064,-8215575064,-3467658000
2014-04-15,41277174000,-41111891000,4579096000
2014-04-16,10015669000,29190975000,-37998417000
2014-04-17,1994830000,-7047619000,5016711000
2014-04-18,-59992315000,70681505000,-11694376000
2014-04-21,8253315000,6871941000,-14875089000
2014-04-22,-2586276000,17995303000,-1959349000
2014-04-23,54745449000,9709870000,-64388405000
2014-04-24,118855991000,-38633874000,-76528079000
2014-04-25,150388637000,-75693534000,-82082121000
2014-04-28,-1766508000,2201951000,-751783000
2014-04-29,-64823603000,15595446000,47454522000
2014-04-30,-42902263000,-36842040000,81166633000
2014-05-02,16547904000,-7326317000,-8749774000
2014-05-07,-20640765000,18628015000,1444615000
2014-05-08,-19994718000,4221433000,13860959000
2014-05-09,-46918572000,1233087000,45191896000
2014-05-12,618600000,111064589000,-115051334000
2014-05-13,33785106000,61782319000,-104620294000
2014-05-14,53554233000,33150884000,-86060856000
2014-05-15,53971171000,-15904132000,-36884195000
2014-05-16,165229473000,-86020090000,-71910190000
2014-05-19,135157144000,-7625070000,-127184475000
2014-05-20,81229949000,-31267108000,-47896620000
2014-05-21,46207578200,-23967934200,-21372045000
2014-05-22,37005672000,-31113075000,-6751812000
2014-05-23,5948769000,6896516000,-12859844000
2014-05-26,9827823000,-5012887000,-3067144000
2014-05-27,5856570000,-10638378000,5984442000
2014-05-28,-1091435000,18831483000,-16358128000
2014-05-29,85434178000,26879927000,-114712606000
2014-05-30,-16313206000,55786466000,-36363111000
2014-06-02,62597197000,-54528059000,-9998072000
2014-06-03,-30176779000,25596977000,-4445616000
2014-06-05,-27260731000,-9469534000,29604142000
2014-06-09,-29287952000,-24563176000,55239908000
2014-06-10,46500841000,-40723899000,-6076508000
2014-06-11,20134619000,-20236120000,11733171000
2014-06-12,23875429000,-75864898000,55608324000
2014-06-13,-96538369000,-79892295000,190024703000
2014-06-16,57205351000,-61794271000,6784171000
2014-06-17,11472806000,-29562648000,19937651000
2014-06-18,-587551000,-39901558000,38507785000
2014-06-19,-147887655000,-10270853000,158732887000
2014-06-20,-201289647000,91804157000,103961181000
2014-06-23,4693490000,954186000,-5937352000
2014-06-24,23180507000,5044397000,-27758115000
2014-06-25,-39489805000,5296912000,33902326000
2014-06-26,-43468733000,36904963000,6593903000
2014-06-27,-68920975000,9744038000,58247746000
2014-06-30,34478146000,-37677209000,2652973000
2014-07-01,62302184000,-96925181000,36317768000
2014-07-02,65336696000,-46325675000,-23288816000
2014-07-03,50627954000,-51796313000,754943000
2014-07-04,-10337451000,-30486893000,37827517000
2014-07-07,13488397000,-71984827000,58197354000
2014-07-08,40105940000,-25720872000,-9829325000
2014-07-09,31401864000,-33941524000,4183346000
2014-07-10,45760096000,-34265523000,-10967449000
2014-07-11,-7574678000,-62245110000,69416142000
2014-07-14,-1511733000,-1237502000,2582341000
2014-07-15,115268656000,-63362214000,-52851991000
2014-07-16,30713284000,-22658806000,-8251113000
2014-07-17,51970644000,-13605810000,-45796723000
2014-07-18,11343223000,12649331000,-24007096000
2014-07-21,93539864000,-42064126000,-54314561000
2014-07-22,16875519000,-6011381000,-10958658000
2014-07-23,29710607000,-26341314000,-3626554000
2014-07-24,58409929000,-9980223000,-49043402000
2014-07-25,-18002625000,21373117000,-4504267000
2014-07-28,21675744000,23048869000,-42989667000
2014-07-29,48479465000,49993150000,-101507856000
2014-07-30,83395716000,9645383000,-91497745000
2014-07-31,65439175000,-100059438000,41271063000
2014-08-01,-199376196000,-2798996000,197247259000
2014-08-04,79445501000,-59796147000,-19971034000
2014-08-05,56118375000,-40613554000,-14752877000
2014-08-06,4530169000,-52185472000,50625044000
2014-08-07,-32655417000,-41447241000,73976988000
2014-08-08,-143579117000,-45561760000,185189740000
2014-08-11,33409317000,-34711764000,509111000
2014-08-12,57910251000,-72610521000,15048240000
2014-08-13,101044797000,-138669971000,38217058000
2014-08-14,41745499000,-62370364000,20518879000
2014-08-18,-17298753000,-31513764000,47597441000
2014-08-19,50044227000,-31386907000,-15391631000
2014-08-20,48618556000,-45230241000,-1795053000
2014-08-21,-16983493000,-95225781000,110252917000
2014-08-22,28528168000,-21054854000,-3494394000
2014-08-25,-15793583000,-20423833000,38176531000
2014-08-26,50863122000,-72183056000,23538074000
2014-08-27,77332071000,-55016886000,-19755670000
2014-08-28,73404964000,-36832982000,-37200981000
2014-08-29,26235523000,-46203393000,20330954000
2014-09-01,18918058000,-43220838000,24301542000
2014-09-02,-44019780000,-52733542000,98952588000
2014-09-03,62829390000,-74536693000,14405054000
2014-09-04,51559051000,-15547452000,-36098139000
2014-09-05,35155877000,-38203806000,1628347000
2014-09-11,26358418000,-39985900000,12522599000
2014-09-12,25090339000,-13608997000,-11325558000
2014-09-15,24545220000,-21081206000,-3824342000
2014-09-16,16656136000,2795566000,-23372692000
2014-09-17,34072249000,-5765071000,-28560805000
2014-09-18,20831898000,-32592449000,13964648000
2014-09-19,78256329000,-35246138000,-15730054000
2014-09-22,64222014000,-110777515000,43165464000
2014-09-23,-33833943000,-15167887000,49424484000
2014-09-24,85752911000,-76587861000,-8660618000
2014-09-25,74330091000,-75036599000,3681829000
2014-09-26,102960317000,-59748575000,-42900992000
2014-09-29,34877974000,-6293654000,-29631632000
2014-09-30,44028873000,-60326469000,17471629000
2014-10-01,4829065000,-25402587000,20778837000
2014-10-02,-23359980000,-4995850000,28341852000
2014-10-06,1807429000,-3835151000,823407000
2014-10-07,559265000,14291185000,-15356479000
2014-10-08,12943466000,-48400533000,36616611000
2014-10-10,-8398125000,-21759254000,30475895000
2014-10-13,-4172470000,20529414000,-20045798000
2014-10-14,47770936000,-278838000,-47191369000
2014-10-15,11280043000,-14052782000,2920686000
2014-10-16,45962672000,-47148450000,3718258000
2014-10-17,-21607128000,-239669000,20413882000
2014-10-20,93649067000,-81969469000,-11366610000
2014-10-21,42973738000,-51953375000,8006736000
2014-10-22,80733012000,-44525541000,-35401467000
2014-10-23,53008272000,-48207261000,-3138995000
2014-10-24,55070362000,-26926805000,-27850039000
2014-10-27,2758675000,-25912910000,22970787000
2014-10-28,1109857000,-2135792000,5600014000
2014-10-29,13704136000,36865235000,-51122711000
2014-10-30,206240517000,-84931314000,-117736865000
2014-10-31,263267758000,-100047534000,-169133540000
2014-11-03,48860320000,-18792265000,-28692996000
2014-11-04,12237778000,-11526748000,126946000
2014-11-05,-382370000,-1813629000,1489594000
2014-11-06,20015342000,-29948342000,11036847000
2014-11-07,6093662000,-9343263000,2114323000
2014-11-10,118745410000,-3117418000,-110921342000
2014-11-11,-12206354000,-16394918000,28173282000
2014-11-12,-1674277000,-8436768000,9548615000
2014-11-13,23038759000,-65497977000,47467069000
2014-11-14,4770389000,-32551413000,28325745000
2014-11-17,3089595000,17452098000,-20405093000
2014-11-18,-6809543000,36118658000,-29632843000
2014-11-19,-22823212000,27138713000,-5424959000
2014-11-20,18121793000,-18609170000,1710334000
2014-11-21,-2729682000,15644741000,-11355200000
2014-11-24,-35745071000,27337228000,7081313000
2014-11-25,-91787793000,39007711000,52790030000
2014-11-26,-77448516000,91683870000,-13585165000
2014-11-27,-2734553000,193553895000,-195404851000
2014-11-28,64110222000,-13361359000,-47875363000
2014-12-01,79375016000,-14707650000,-62319556000
2014-12-02,-17652935000,-10846920000,-28891000000
2014-12-03,23121819000,-11122121000,-26779628000
2014-12-04,11112142000,14393698000,-45000823000
2014-12-05,5608345000,7739111000,-18746147000
2014-12-08,46353893000,37586641000,-83093218000
2014-12-09,52293064000,52205454000,-116189541000
2014-12-10,-121005287900,56977595900,-25331081000
2014-12-11,-196997141000,93991459000,-26825888000
2014-12-12,-121357578000,52755749000,-6498370000
2014-12-15,-142587023000,49146679000,13086165000
2014-12-16,-125320376000,62622418000,-16025530000
2014-12-17,-157522666900,85516013900,-7817258000
2014-12-18,-86547202000,14493994000,-6764281000
2014-12-19,10803893000,74468063000,-82012354000
2014-12-22,-55151203000,17992728000,-69399101000
2014-12-23,-69779312000,11985487000,-51887603000
2014-12-24,29584072000,14868131000,-60311806000
2014-12-26,54365269000,83861003000,-137229959000
2014-12-29,-41446676000,-74573859000,-12320010000
2014-12-30,-29535621000,-81096653000,-15155442000
2015-01-02,28661116000,-27448674000,-7894072000
2015-01-05,-70494157000,12453321000,-4283380000
2015-01-06,-133456517000,26776551000,39507501000
2015-01-07,-78013040000,28976493000,-4469805000
2015-01-08,-5538895000,133445000,6810295000
2015-01-09,-18490438000,12636795000,-4550083000
2015-01-12,-52282809000,2951481000,-14974230000
2015-01-13,-9067156000,-28117343000,-26740941000
2015-01-14,-9306859000,10288033000,-66087973000
2015-01-15,-95627864000,10355200000,-15680820000
2015-01-16,-76146837000,-19728430000,-2875248000
2015-01-19,-4747304000,35015173000,-30131944000
2015-01-20,29128592000,79511323000,-107913724000
2015-01-21,-11699486000,32211898000,-102308827000
2015-01-22,-143967798000,84181158000,-24195954000
2015-01-23,-56126074000,-2203986000,-27809817000
2015-01-26,-66110466000,-4140956000,-13896059000
2015-01-27,21164665000,32337156000,-57116136000
2015-01-28,-15260417580,7552136580,8375404000
2015-01-29,-74021994000,71049699000,3483392000
2015-01-30,-33681227000,38906649000,-3953442000
2015-02-02,11781531000,-11137622000,-962997000
2015-02-03,-965932000,5259742000,-4377495000
2015-02-04,-29066819000,18520790000,10323915000
